============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.21-s010_1
  Generated on:           Aug 19 2021  09:38:40 pm
  Module:                 array
  Operating conditions:   typical (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

 Instance      Module       Cell Count  Cell Area  Net Area   Total Area  Wireload     
---------------------------------------------------------------------------------------
array                              392   7344.691     0.000     7344.691    <none> (D) 
  uut3    linear_array_8_2          49    918.086     0.000      918.086    <none> (D) 
    mut16 mux_rout_23                3     76.507     0.000       76.507    <none> (D) 
    mut15 mux_rout_22                3     76.507     0.000       76.507    <none> (D) 
    mut14 mux_rout_21                3     76.507     0.000       76.507    <none> (D) 
    mut13 mux_rout_20                3     76.507     0.000       76.507    <none> (D) 
    mut12 mux_rout_19                3     76.507     0.000       76.507    <none> (D) 
    mut11 mux_rout_18                3     76.507     0.000       76.507    <none> (D) 
    mut10 mux_rout_17                3     76.507     0.000       76.507    <none> (D) 
    mut9  mux_rout_16                3     76.507     0.000       76.507    <none> (D) 
    mut8  mux_bout_23                3     36.590     0.000       36.590    <none> (D) 
    mut7  mux_bout_22                3     36.590     0.000       36.590    <none> (D) 
    mut6  mux_bout_21                3     36.590     0.000       36.590    <none> (D) 
    mut5  mux_bout_20                3     36.590     0.000       36.590    <none> (D) 
    mut4  mux_bout_19                3     36.590     0.000       36.590    <none> (D) 
    mut3  mux_bout_18                3     36.590     0.000       36.590    <none> (D) 
    mut2  mux_bout_17                3     36.590     0.000       36.590    <none> (D) 
    mut1  mux_bout_16                3     36.590     0.000       36.590    <none> (D) 
  uut2    linear_array_8_1          49    918.086     0.000      918.086    <none> (D) 
    mut16 mux_rout_15                3     76.507     0.000       76.507    <none> (D) 
    mut15 mux_rout_14                3     76.507     0.000       76.507    <none> (D) 
    mut14 mux_rout_13                3     76.507     0.000       76.507    <none> (D) 
    mut13 mux_rout_12                3     76.507     0.000       76.507    <none> (D) 
    mut12 mux_rout_11                3     76.507     0.000       76.507    <none> (D) 
    mut11 mux_rout_10                3     76.507     0.000       76.507    <none> (D) 
    mut10 mux_rout_9                 3     76.507     0.000       76.507    <none> (D) 
    mut9  mux_rout_8                 3     76.507     0.000       76.507    <none> (D) 
    mut8  mux_bout_15                3     36.590     0.000       36.590    <none> (D) 
    mut7  mux_bout_14                3     36.590     0.000       36.590    <none> (D) 
    mut6  mux_bout_13                3     36.590     0.000       36.590    <none> (D) 
    mut5  mux_bout_12                3     36.590     0.000       36.590    <none> (D) 
    mut4  mux_bout_11                3     36.590     0.000       36.590    <none> (D) 
    mut3  mux_bout_10                3     36.590     0.000       36.590    <none> (D) 
    mut2  mux_bout_9                 3     36.590     0.000       36.590    <none> (D) 
    mut1  mux_bout_8                 3     36.590     0.000       36.590    <none> (D) 
  uut1    linear_array_8            49    918.086     0.000      918.086    <none> (D) 
    mut16 mux_rout_7                 3     76.507     0.000       76.507    <none> (D) 
    mut15 mux_rout_6                 3     76.507     0.000       76.507    <none> (D) 
    mut14 mux_rout_5                 3     76.507     0.000       76.507    <none> (D) 
    mut13 mux_rout_4                 3     76.507     0.000       76.507    <none> (D) 
    mut12 mux_rout_3                 3     76.507     0.000       76.507    <none> (D) 
    mut11 mux_rout_2                 3     76.507     0.000       76.507    <none> (D) 
    mut10 mux_rout_1                 3     76.507     0.000       76.507    <none> (D) 
    mut9  mux_rout                   3     76.507     0.000       76.507    <none> (D) 
    mut8  mux_bout_7                 3     36.590     0.000       36.590    <none> (D) 
    mut7  mux_bout_6                 3     36.590     0.000       36.590    <none> (D) 
    mut6  mux_bout_5                 3     36.590     0.000       36.590    <none> (D) 
    mut5  mux_bout_4                 3     36.590     0.000       36.590    <none> (D) 
    mut4  mux_bout_3                 3     36.590     0.000       36.590    <none> (D) 
    mut3  mux_bout_2                 3     36.590     0.000       36.590    <none> (D) 
    mut2  mux_bout_1                 3     36.590     0.000       36.590    <none> (D) 
    mut1  mux_bout                   3     36.590     0.000       36.590    <none> (D) 

 (D) = wireload is default in technology library
